Ticker,MarketCap
AAPL,3287734812672
MSFT,3017962684416
NVDA,2576672096256
GOOG,2024390131712
GOOGL,2024385150976
AMZN,1752135368704
LLY,802891825152
AVGO,690132418560
JPM,585533947904
WMT,546558509056
XOM,528030302208
UNH,515969056768
V,505461833728
MA,421989351424
PG,401459675136
JNJ,386650865664
COST,379020410880
ORCL,363938873344
HD,345716326400
ABBV,335480946688
BAC,297036709888
KO,296001863680
MRK,290362490880
NFLX,272064856064
CVX,263120601088
CRM,244701560832
ADBE,237795409920
PEP,236789743616
TMO,227738370048
AMD,217313312768
ACN,197830852608
DHR,193632518144
MCD,192183353344
ABT,189144530944
QCOM,183230709760
CSCO,183189995520
GE,181220737024
PM,180372357120
WFC,179582910464
IBM,176353787904
INTU,176170532864
TXN,175496577024
AMGN,173283229696
VZ,171537940480
AXP,169090416640
ISRG,164679909376
CAT,164021600256
PFE,161784266752
NEE,159207407616
AMAT,158292246528
DIS,156349595648
GS,154824114176
MS,153243697152
SPGI,152903630848
CMCSA,151337304064
UNP,144696721408
T,139747983360
LOW,134384189440
LMT,131473506304
PGR,129859944448
HON,128784277504
BLK,126828675072
COP,126123368448
TJX,125107601408
SYK,124927811584
REGN,124702236672
VRTX,120907882496
ETN,116101890048
BKNG,115426189312
SCHW,114169110528
PLD,112868548608
BSX,112199688192
NKE,111462416384
C,110347157504
CB,109167214592
MMC,108215820288
UPS,107774640128
ADP,106915692544
LRCX,105331580928
MDT,105224503296
ADI,104855609344
AMT,103967776768
BA,103460601856
MU,103210819584
KLAC,100385898496
DE,95355478016
SO,95008677888
BMY,94720131072
CI,93967605760
HCA,93138903040
MDLZ,93131980800
GILD,91705966592
ICE,88463802368
SHW,87190462464
DUK,87003996160
MO,86044680192
SBUX,85091983360
MCO,84656316416
INTC,84279959552
ZTS,83927695360
CL,83400065024
WM,82373918720
GD,80507199488
SNPS,80397025280
EQIX,77748559872
CTAS,76146098176
CMG,76074606592
APH,75412643840
CME,74417643520
CDNS,73967001600
PH,73243942912
NOC,72294752256
EOG,71944953856
CVS,71843241984
AON,71568203776
WELL,71513980928
ITW,71021453312
MCK,70174711808
TDG,69920415744
MSI,68531605504
MMM,68213284864
BDX,68185001984
FDX,67771817984
ECL,67702968320
PNC,67542519808
PYPL,66165198848
CSX,65917157376
USB,65650655232
ORLY,65222193152
RSG,63196762112
TGT,62687313920
AJG,61950525440
APD,61854425088
SLB,61834031104
MAR,61363568640
SPG,59483320320
EMR,59310682112
FCX,58983104512
MPC,58847490048
AFL,56680230912
PSX,56678428672
ROP,56470290432
DHI,56360374272
PSA,55487709184
NEM,54743883776
NSC,54177124352
OXY,53515067392
AZO,53302607872
O,52748472320
WMB,52730912768
CHTR,52016246784
AEP,51897663488
ADSK,51816984576
COF,51478007808
HLT,50842820608
DLR,50120863744
OKE,49646288896
SRE,49644978176
MET,49113788416
GM,48868040704
PCAR,48679256064
TRV,48430780416
VLO,48403009536
CCI,48080494592
GWW,47815495680
PCG,47596642304
KMB,47260340224
BK,47066959872
KMI,46653050880
ROST,46580412416
AIG,46403104768
LEN,46208503808
URI,46037196800
D,45696954368
JCI,45191147520
ALL,45158932480
MNST,45114851328
PAYX,44821405696
STZ,43995525120
TEL,43761299456
IQV,43290779648
KHC,42644254720
FIS,42330464256
HUM,42240630784
HES,41410654208
MCHP,40822661120
HSY,40761032704
CMI,40288002048
F,40150024192
RCL,40093163520
CNC,39978283008
A,39942078464
PEG,39783215104
AMP,39765442560
IDXX,39740583936
NDAQ,39134044160
PRU,39077220352
EW,38939136000
KR,38918967296
EA,38731722752
