Ticker,MarketCap
AAPL,3190124445696
MSFT,2961546149888
NVDA,2433017970688
GOOGL,1966834843648
GOOG,1966454734848
AMZN,1708368855040
LLY,695238721536
AVGO,634320453632
JPM,570170015744
WMT,538193297408
UNH,521011560448
XOM,513946550272
V,499157139456
MA,415577931776
PG,400235593728
JNJ,382510399488
COST,359234338816
ORCL,346962788352
HD,339528646656
ABBV,331206393856
KO,295053688832
BAC,289432338432
MRK,285140779008
NFLX,262425804800
CVX,260456513536
PEP,235965595648
CRM,232598749184
ADBE,227739107328
TMO,224372981760
AMD,208249815040
ACN,199202635776
MCD,194130100224
ABT,191284609024
DHR,190165893120
CSCO,181779906560
PM,179952549888
WFC,177983143936
GE,175799189504
QCOM,173917667328
IBM,172070453248
INTU,170369925120
VZ,169559457792
TXN,168064385024
AMGN,167915323392
PFE,163484286976
AXP,162656665600
ISRG,159646334976
NEE,159412944896
CAT,157979754496
DIS,155896201216
SPGI,149651554304
GS,149376565248
CMCSA,149129969664
MS,149021081600
AMAT,147801800704
UNP,144282451968
T,138027122688
LOW,131968090112
LMT,130741747712
HON,128582877184
PGR,126433796096
BLK,124403826688
COP,124172468224
TJX,121977094144
SYK,121791578112
VRTX,120247148544
REGN,117708939264
SCHW,113748738048
PLD,111248203776
BKNG,110818934784
ETN,110544404480
NKE,108883525632
BSX,108650643456
CB,107329306624
MMC,107247067136
C,107046666240
ADP,105661169664
UPS,105633193984
AMT,105546514432
MDT,103979261952
BA,100583104512
ADI,99893444608
LRCX,97528512512
MU,96247308288
SO,95545016320
DE,95341707264
BMY,94274093056
KLAC,93791002624
MDLZ,92731236352
GILD,92192899072
CI,91974418432
HCA,90911727616
DUK,87652646912
ICE,86764339200
SHW,85694562304
MO,85362188288
SBUX,85318631424
ZTS,83710238720
CL,83694215168
WM,82209382400
MCO,82128986112
INTC,81201242112
MCK,80097837056
GD,78907998208
SNPS,75071242240
CTAS,74588209152
EQIX,74053959680
CME,73819881472
CMG,73445212160
APH,72305573888
NOC,71623483392
CVS,71038132224
AON,70820888576
ITW,70323732480
EOG,70006030336
WELL,69942378496
CDNS,68539883520
FDX,67947716608
MMM,67477151744
MSI,67460485120
TDG,67447586816
BDX,67236945920
PNC,66282459136
ECL,65884770304
PH,65877262336
CSX,65180434432
USB,64589504512
ORLY,64367824896
PYPL,64140984320
RSG,63303544832
TGT,61748158464
AJG,61707325440
APD,61678796800
SLB,60854341632
MAR,60462698496
SPG,57327722496
EMR,56936882176
FCX,56784707584
MPC,56678735872
PSX,55627816960
AFL,55604981760
ROP,55234285568
DHI,55100760064
PSA,54281830400
NSC,54258515968
NEM,53240754176
AEP,52983189504
AZO,52689166336
O,52495921152
WMB,52413992960
OXY,51407814656
CHTR,50521747456
COF,50515726336
HLT,50152824832
ADSK,50120929280
MNST,49793929216
DLR,49125924864
SRE,48916860928
OKE,48513183744
CCI,48354271232
MET,48133337088
PCAR,48039706624
TRV,47721914368
VLO,47502745600
PCG,47178211328
KMB,47159296000
GWW,46442516480
D,46217093120
KMI,46164766720
GM,45687349248
BK,45532008448
ROST,45476282368
AIG,45450059776
LEN,45396348928
ALL,45063876608
PAYX,44374851584
JCI,43928604672
URI,43754852352
STZ,43339444224
TEL,43147382784
KHC,41918803968
IQV,41859723264
FIS,41708519424
HUM,41606115328
HSY,40421191680
HES,40396566528
CMI,40016646144
PEG,39339851776
CNC,39336525824
A,39084306432
KR,38904532992
F,38838194176
MCHP,38628360192
AMP,38561652736
IDXX,38442618880
GIS,38428348416
NDAQ,38392631296
YUM,38334017536
EA,38153121792
PRU,38113320960
